Agency type,Agency,Population,Total Offenses,Crimes Against Persons,Crimes Against Property,Crimes Against Society,"Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses","Murder and
Nonnegligent
Manslaughter","Negligent
Man-
slaughter","Justifiable
Homicide","Human
Trafficking
Offenses","Commercial
Sex Acts","Involuntary
Servitude","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With an
Object","Criminal
Sexual
Contact2",Incest,"Statutory
Rape",Arson,Bribery,"Burglary/
Breaking &
Entering","Counterfiting/
Forgery","Destruction/
Damage/
Vandalism
of Property",Embezzlement,"Extortion/
Blackmail","Fraud
Offenses","False
Pretenses/
Swindle/
Confidence
Game","Credit
Card/
Automated
Teller
Machine
Fraud",Impersonation,"Welfare
Fraud","Wire
Fraud","Identity 
Theft","Hacking/
Computer 
Invasion","Larceny/
Theft
Offenses",Pocketpicking,Purse snatching,"Shop 
lifting","Theft
From
Building","Theft
From
Coin Op-
erated
Machine
or Device","Theft
From
Motor
Vehicle","Theft of 
Motor 
Vehicle
Parts or
Acces-
sories","All
Other
Larceny","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses","Animal 
Cruelty","Drug/
Narcotic
Offenses","Drug/
Narcotic
Violations","Drug
Equipment
Violations","Gambling
Offenses","Betting/
Wagering","Operating/
Promoting/
Assisting
Gambling","Gambling
Equipment
Violations","Sports
Tampering","Pornography/
Obscene
Material","Prostitution
Offenses",Prostitution,"Assisting or
Promoting
Prostitution","Purchasing
Prostitution","Weapon
Law
Violations"
,Forney,37242,799,143,447,209,120,22,75,23,1,1,0,0,0,0,0,4,18,13,3,0,2,0,0,0,0,25,14,43,0,1,59,25,17,9,0,0,8,0,235,28,2,95,3,0,41,7,59,58,6,6,2,164,98,66,0,0,0,0,0,2,0,0,0,0,41
,Fort Stockton,8053,158,66,59,33,59,6,47,6,0,0,0,0,0,0,0,0,7,4,0,0,3,0,0,2,0,14,4,16,0,0,5,1,1,1,0,1,1,0,13,0,0,3,1,0,0,1,8,4,0,1,0,27,26,1,0,0,0,0,0,0,0,0,0,0,6
,Fort Worth,973722,52965,13352,34136,5477,12203,3351,7449,1403,92,85,3,4,25,20,5,257,775,548,91,36,100,0,0,107,3,3430,228,5893,52,4,1183,231,520,37,0,1,348,46,17580,35,140,2784,35,23,5658,365,8540,4776,696,184,138,3885,2986,899,11,0,11,0,0,261,126,99,27,0,1056
,Franklin,1790,42,11,25,6,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,4,1,2,0,0,0,1,0,5,0,1,1,2,0,0,0,1,1,1,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
,Frankston,1094,136,12,35,89,9,1,2,6,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,1,0,4,0,0,1,1,0,0,0,0,0,0,28,0,0,1,0,1,0,0,26,1,0,0,0,83,22,61,0,0,0,0,0,0,0,0,0,0,6
,Fredericksburg,11446,291,73,168,50,68,4,50,14,0,0,0,0,0,0,0,1,4,2,0,1,1,0,0,0,0,20,8,46,0,0,7,6,0,0,0,0,0,1,70,0,0,6,0,0,9,0,55,15,2,0,1,45,28,17,0,0,0,0,0,0,0,0,0,0,4
,Freeport,10478,459,156,262,41,143,60,65,18,0,0,0,0,0,0,0,0,13,10,0,0,3,0,0,1,0,30,7,59,0,0,18,5,12,1,0,0,0,0,140,0,0,0,0,0,21,0,119,0,7,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,8
,Freer,2360,82,36,42,4,30,2,16,12,0,0,0,0,0,0,0,3,3,0,1,0,2,0,0,0,0,9,3,11,0,0,3,0,2,1,0,0,0,0,13,0,0,3,1,0,3,0,6,2,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,1
,Friendswood,40678,1021,217,573,231,201,22,135,44,2,2,0,0,0,0,0,0,14,5,0,2,6,1,0,1,0,21,39,33,3,15,225,61,13,1,0,41,104,5,192,2,0,26,21,1,46,22,74,34,1,9,1,183,76,107,0,0,0,0,0,3,1,1,0,0,43
,Friona,4001,31,6,15,10,4,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,8,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,1
,Frisco,228527,6878,1086,4523,1269,1022,133,805,84,2,1,1,0,0,0,0,2,60,24,8,5,23,0,0,12,0,171,62,359,25,61,922,143,210,14,0,253,300,2,2664,33,10,1076,229,1,576,233,506,217,27,3,3,1115,606,509,0,0,0,0,0,38,2,1,0,1,111
,Fulshear,25579,332,41,176,115,40,4,36,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,4,22,0,4,41,5,3,31,0,2,0,0,90,0,0,28,2,0,1,1,58,3,0,4,0,113,10,103,0,0,0,0,0,0,0,0,0,0,2
,Gainesville,18167,1162,239,518,405,217,45,155,17,2,2,0,0,0,0,0,4,16,6,1,2,7,0,0,3,0,36,18,91,4,2,68,34,22,0,0,4,7,1,256,2,1,104,21,0,45,18,65,33,0,7,2,377,171,206,0,0,0,0,0,0,0,0,0,0,26
,Galena Park,10215,386,88,273,25,86,14,56,16,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,17,59,34,0,0,13,1,7,5,0,0,0,0,102,0,0,18,10,0,39,5,30,36,5,6,0,12,8,4,0,0,0,0,0,0,0,0,0,0,13
,Galveston,52810,3827,1309,1876,642,1205,147,785,273,6,6,0,0,2,2,0,11,85,61,12,0,12,0,0,5,0,126,45,324,0,2,218,38,92,5,0,10,71,2,935,0,0,53,2,1,225,15,639,169,47,5,9,411,381,30,0,0,0,0,0,15,11,10,1,0,196
,Ganado,2005,32,8,16,8,6,3,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,2,5,0,2,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0
,Garden Ridge,4400,137,14,80,43,12,0,4,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,8,0,0,15,1,6,4,0,0,4,0,43,0,0,0,1,0,12,3,27,8,2,0,0,37,14,23,0,0,0,0,0,0,0,0,0,0,6
,Garland,240051,12922,3365,7515,2042,3197,318,2618,261,14,11,1,2,0,0,0,27,127,74,1,0,52,0,0,19,0,748,65,928,0,0,301,70,161,1,2,1,66,0,3754,3,1,756,0,1,1119,323,1551,1286,146,268,10,1726,1123,603,1,1,0,0,0,19,1,0,0,1,285
,Garrison,834,8,2,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1
,Gatesville,16230,512,164,274,74,152,18,113,21,2,2,0,0,0,0,0,0,10,5,0,0,5,0,0,2,0,43,14,54,0,0,23,2,7,14,0,0,0,0,126,0,0,1,0,0,15,0,110,11,1,0,0,66,62,4,0,0,0,0,0,1,1,0,0,1,6
,Georgetown,87871,2771,712,1702,357,652,92,495,65,1,0,1,0,0,0,0,15,44,19,15,3,7,0,0,5,0,187,48,215,8,2,353,113,100,1,0,28,108,3,767,0,0,162,59,0,247,19,280,92,12,13,4,295,236,59,0,0,0,0,0,33,0,0,0,0,25
,George West,2155,112,45,47,20,41,11,28,2,0,0,0,0,0,0,0,0,4,1,1,0,2,0,0,0,0,13,0,11,0,0,1,0,0,1,0,0,0,0,15,0,0,6,1,0,4,1,3,5,0,2,4,10,9,1,0,0,0,0,0,1,0,0,0,0,5
,Giddings,5202,238,85,117,36,78,10,49,19,1,1,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,9,8,22,0,0,11,2,1,0,0,0,8,0,63,0,0,0,0,0,9,1,53,4,0,0,0,34,30,4,0,0,0,0,0,0,0,0,0,0,2
,Gilmer,5119,339,86,207,46,73,12,48,13,1,0,1,0,5,2,3,0,7,5,0,0,2,0,0,1,0,12,15,27,0,0,20,13,7,0,0,0,0,0,121,0,0,73,1,0,7,0,40,8,1,2,0,39,24,15,0,0,0,0,0,0,0,0,0,0,7
,Gladewater,6271,173,60,88,25,52,15,30,7,0,0,0,0,0,0,0,0,8,5,0,1,2,0,0,0,0,8,6,15,0,0,5,0,3,2,0,0,0,0,41,0,1,8,5,2,5,4,16,12,0,1,1,13,12,1,0,0,0,0,0,0,0,0,0,0,11
,Glenn Heights,19628,626,238,279,109,231,39,164,28,0,0,0,0,0,0,0,0,7,4,0,0,3,0,0,0,0,13,0,54,0,0,45,6,4,35,0,0,0,0,132,0,0,19,4,0,53,8,48,27,6,2,3,83,69,14,0,0,0,0,0,2,0,0,0,0,21
,Godley,3545,75,12,37,26,12,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,6,0,0,5,1,1,0,0,0,3,0,14,0,0,0,6,0,1,0,7,3,0,2,0,21,18,3,0,0,0,0,0,1,0,0,0,0,4
,Gonzales,7210,467,134,202,131,128,117,8,3,0,0,0,0,0,0,0,1,5,3,0,2,0,0,0,2,0,23,13,41,0,0,7,0,1,6,0,0,0,0,106,0,0,0,0,0,16,8,82,9,1,0,4,110,108,2,0,0,0,0,0,0,0,0,0,0,17
,Graham,8767,363,70,99,194,60,4,44,12,0,0,0,0,0,0,0,0,10,5,1,0,4,0,0,0,0,5,2,4,0,0,8,1,5,2,0,0,0,0,73,0,1,23,4,0,20,2,23,6,1,0,1,180,104,76,0,0,0,0,0,6,0,0,0,0,7
,Granbury,13124,820,163,523,134,153,11,129,13,4,3,1,0,0,0,0,0,6,6,0,0,0,0,0,1,0,12,14,63,0,0,53,28,22,2,0,1,0,0,357,0,0,90,0,0,14,0,253,22,1,0,1,126,73,53,0,0,0,0,0,1,0,0,0,0,6
,Grand Prairie,205487,9045,1606,4761,2678,1509,275,1187,47,6,4,1,1,0,0,0,3,88,53,5,1,29,0,0,8,0,274,82,818,0,1,470,467,0,3,0,0,0,0,2479,10,0,337,0,9,423,265,1435,575,49,5,0,2328,1151,1177,1,0,1,0,0,16,2,0,2,0,331
,Grand Saline,3272,57,11,32,14,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,3,0,2,0,0,0,1,0,10,0,0,1,2,0,0,0,7,8,0,0,1,11,11,0,0,0,0,0,0,0,0,0,0,0,2
,Granger,1186,24,11,12,1,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Grapeland,1480,21,8,12,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,Grapevine,51458,2468,433,1651,384,397,64,280,53,2,2,0,0,0,0,0,0,34,12,1,6,15,0,0,2,1,98,44,53,27,4,249,98,32,2,0,0,114,3,899,1,0,269,120,1,259,138,111,259,9,6,11,308,166,142,0,0,0,0,0,23,0,0,0,0,42
,Greenville,32547,1222,332,508,382,309,42,256,11,2,2,0,0,0,0,0,1,20,17,1,0,2,0,0,3,0,63,7,13,0,0,48,13,19,0,0,0,16,0,326,4,0,101,7,0,54,20,140,38,10,0,1,344,236,108,0,0,0,0,0,4,0,0,0,0,33
,Groesbeck,3617,194,56,102,36,56,4,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,13,0,0,2,0,1,0,0,1,0,0,56,0,0,6,27,0,3,3,17,7,0,0,2,28,17,11,0,0,0,0,0,1,0,0,0,0,5
,Groves,16554,597,204,320,73,194,48,134,12,0,0,0,0,0,0,0,0,10,6,1,0,3,0,0,1,0,33,19,72,0,0,27,15,12,0,0,0,0,0,138,0,0,0,0,0,19,0,119,25,5,0,0,50,50,0,0,0,0,0,0,2,0,0,0,0,21
,Gun Barrel City,6660,291,63,186,42,60,10,50,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,30,6,36,0,0,16,5,11,0,0,0,0,0,83,0,0,11,3,0,7,0,62,13,1,1,0,41,19,22,0,0,0,0,0,0,0,0,0,0,1
,Gunter,2580,28,4,20,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,2,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0
,Hale Center,1997,41,16,22,3,13,4,8,1,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,1,1,1,0,0,3,0,1,0,0,0,2,0,12,0,0,1,6,0,1,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
,Hallettsville,2736,176,58,38,80,56,13,33,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,4,16,0,0,3,0,2,1,0,0,0,0,9,0,0,0,0,0,2,0,7,2,0,1,1,66,46,20,0,0,0,0,0,2,0,0,0,0,11
,Hallsville,4829,37,11,17,9,9,0,9,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,1,0,0,2,0,2,0,0,0,0,0,5,0,0,0,0,0,2,0,3,3,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,2
,Haltom City,45298,2560,609,1681,270,564,92,398,74,4,3,1,0,1,0,1,9,31,19,4,0,8,0,0,4,0,164,33,414,1,0,122,93,24,5,0,0,0,0,699,0,0,101,0,0,172,49,377,216,28,0,3,211,155,56,1,0,1,0,0,10,0,0,0,0,45
,Hamilton,2880,129,45,56,28,43,9,34,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,3,15,0,0,6,1,3,0,0,0,2,0,20,0,0,1,3,0,2,0,14,3,0,0,0,24,20,4,0,0,0,0,0,0,0,0,0,0,4
,Hamlin,1859,40,21,6,13,20,4,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0,3
,Harker Heights,34540,1131,263,602,266,236,48,156,32,6,4,1,1,0,0,0,2,19,10,3,0,6,0,0,0,0,44,31,113,0,0,51,29,13,4,0,0,5,0,289,3,0,91,18,0,76,4,97,65,9,0,3,212,159,53,0,0,0,0,0,4,0,0,0,0,47
,Harlingen,71581,5073,1314,2872,887,1270,172,875,223,1,1,0,0,9,2,7,12,22,7,4,0,11,0,0,9,0,279,67,543,6,0,205,25,87,1,2,2,87,1,1544,4,1,530,14,5,253,18,719,173,42,4,10,828,609,219,0,0,0,0,0,5,3,3,0,0,41
,Haskell,3061,35,10,20,5,10,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,1,1,1,0,0,0,0,11,0,0,1,1,0,1,0,8,1,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0
,Hawkins,1389,53,17,23,13,17,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,1,0,1,0,0,0,0,0,9,1,0,0,2,0,0,0,6,3,0,1,0,13,7,6,0,0,0,0,0,0,0,0,0,0,0
,Hawley,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hearne,4541,104,55,36,13,53,11,42,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,13,1,3,0,0,3,1,2,0,0,0,0,0,10,0,0,1,0,0,1,1,7,3,0,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,5
,Heath,11188,241,77,80,84,75,6,58,11,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,1,12,0,0,12,0,1,11,0,0,0,0,48,0,0,10,10,0,3,7,18,0,0,1,0,67,63,4,0,0,0,0,0,4,0,0,0,0,13
,Hedwig Village,2302,200,8,176,16,8,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,13,0,0,16,5,6,0,0,4,1,0,125,1,1,31,1,0,69,9,13,9,1,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,5
,Helotes,9854,372,38,200,134,35,1,27,7,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,25,4,24,0,0,31,4,6,4,0,1,15,1,100,0,0,55,1,0,7,5,32,15,0,1,3,117,28,89,0,0,0,0,0,0,0,0,0,0,14
,Hempstead,6545,392,100,220,72,97,23,67,7,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,25,13,45,0,0,19,10,5,1,0,1,2,0,78,0,0,5,1,0,18,0,54,32,8,0,3,50,50,0,0,0,0,0,0,1,0,0,0,0,18
,Henderson,13446,1267,475,661,131,451,59,341,51,3,1,2,0,0,0,0,0,21,9,0,0,11,1,0,1,0,75,19,153,0,0,61,52,8,1,0,0,0,0,311,0,0,0,0,0,53,0,258,31,10,0,0,113,53,60,0,0,0,0,0,3,0,0,0,0,15
,Hereford,14687,686,171,425,90,155,17,135,3,0,0,0,0,0,0,0,1,15,6,1,3,5,0,0,1,0,78,13,120,0,0,23,1,9,13,0,0,0,0,157,0,0,34,9,1,36,8,69,28,1,4,0,81,80,1,0,0,0,0,0,3,0,0,0,0,6
,Hewitt,16615,679,146,332,201,132,7,95,30,0,0,0,0,0,0,0,1,13,7,0,0,6,0,0,1,0,26,11,33,0,0,54,6,23,4,0,0,20,1,187,1,0,73,13,0,24,6,70,16,4,0,3,179,105,74,0,0,0,0,0,2,0,0,0,0,17
,Hickory Creek,5760,162,26,99,37,26,4,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,12,0,0,6,2,1,0,0,0,3,0,65,0,0,0,6,0,4,0,55,5,1,1,1,29,27,2,0,0,0,0,0,0,0,0,0,0,7
,Hico,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hidalgo,14660,546,182,318,46,168,18,114,36,0,0,0,0,0,0,0,3,11,5,0,1,5,0,0,0,0,18,0,47,0,1,25,3,3,0,0,0,19,0,183,0,0,20,3,0,29,0,131,24,1,19,1,37,29,8,0,0,0,0,0,1,0,0,0,0,7
,Highland Park,8707,354,28,260,66,27,7,20,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,25,9,11,0,0,37,1,12,24,0,0,0,0,165,0,0,0,0,0,74,0,91,13,0,0,0,51,23,28,0,0,0,0,0,0,0,0,0,0,15
,Highland Village,16185,476,98,266,112,91,2,66,23,0,0,0,0,0,0,0,1,6,2,0,0,4,0,0,0,0,2,19,28,0,0,54,32,10,4,0,0,7,1,157,1,0,42,3,0,20,1,90,5,0,1,0,102,58,44,0,0,0,0,0,2,0,0,0,0,8
,Hill Country Village,947,76,8,39,29,8,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,0,0,3,1,1,1,0,0,0,0,14,0,0,2,3,0,3,2,4,4,0,1,0,27,9,18,0,0,0,0,0,0,0,0,0,0,2
,Hillsboro,8723,467,133,251,83,123,20,81,22,0,0,0,0,0,0,0,1,9,6,0,0,3,0,0,2,0,15,9,27,0,0,22,5,6,10,0,0,1,0,153,1,0,73,14,0,13,6,46,19,3,1,0,70,51,19,0,0,0,0,0,0,0,0,0,0,13
,Hitchcock,7812,437,158,237,42,140,18,118,4,0,0,0,0,0,0,0,0,18,10,0,0,8,0,0,6,0,24,1,51,0,0,34,1,16,3,0,1,13,0,85,1,0,10,4,0,18,4,48,22,7,7,2,28,24,4,0,0,0,0,0,4,0,0,0,0,8
,Holiday Lakes,1058,27,11,15,1,9,0,7,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,3,0,4,0,0,3,1,2,0,0,0,0,0,5,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Hollywood Park,3078,182,12,85,85,12,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,8,1,5,2,0,0,0,0,44,0,0,0,1,0,27,7,9,5,1,2,0,80,20,60,0,0,0,0,0,0,0,0,0,0,5
,Hondo,8800,474,108,243,123,97,12,79,6,1,1,0,0,0,0,0,1,9,4,2,0,3,0,0,0,0,27,5,69,0,0,15,6,6,1,0,2,0,0,99,0,0,5,6,0,15,1,72,25,3,0,2,106,106,0,0,0,0,0,0,0,0,0,0,0,15
,Honey Grove,1783,32,7,20,5,6,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,3,0,3,3,0,1,0,1,0,0,1,0,0,0,0,0
,Hooks,2481,95,23,66,6,21,11,5,5,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,9,0,0,6,1,4,1,0,0,0,0,41,0,0,1,1,0,12,2,25,6,0,0,0,3,0,3,0,0,0,0,0,2,0,0,0,0,1
,Horizon City,23662,633,149,366,118,135,12,87,36,0,0,0,0,0,0,0,3,11,3,4,0,4,0,0,1,0,15,7,98,1,0,45,29,9,0,0,0,7,0,168,3,0,31,1,0,29,8,96,30,0,1,1,110,66,44,0,0,0,0,0,1,0,0,0,0,6
,Horseshoe Bay,5009,114,34,60,20,33,4,22,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,2,7,0,0,15,4,1,9,0,1,0,0,21,0,0,0,0,0,0,0,21,2,0,0,0,11,11,0,0,0,0,0,0,3,0,0,0,0,6
,Houston,2304406,226706,66820,145839,14047,63869,16717,26216,20936,365,343,3,19,84,71,13,382,2120,781,666,8,665,0,0,373,9,13411,3270,21367,302,296,8033,2357,2088,83,6,21,3329,149,71532,243,361,12520,1331,68,28635,9642,18732,19769,6840,637,507,8305,7239,1066,19,9,1,9,0,457,1422,733,25,664,3337
,Howe,3756,71,23,21,27,23,1,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,12,0,0,2,1,0,3,2,4,5,0,0,1,23,8,15,0,0,0,0,0,0,0,0,0,0,3
,Hudson Oaks,2661,123,9,105,9,7,3,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,5,7,0,0,10,4,5,1,0,0,0,0,68,0,0,0,0,0,2,0,66,10,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,1
,Humble,16143,2804,423,2138,243,391,81,287,23,1,1,0,0,0,0,0,1,30,26,1,1,2,0,0,5,0,107,43,272,0,0,161,161,0,0,0,0,0,0,1236,2,1,217,7,2,331,93,583,259,33,22,8,171,137,34,0,0,0,0,0,3,0,0,0,0,61
,Huntington,2067,26,12,11,3,12,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1
,Huntsville,48064,2209,753,1172,284,699,184,452,63,8,7,1,0,1,1,0,2,43,34,1,0,7,1,0,4,0,112,33,162,0,0,133,71,61,1,0,0,0,0,614,0,0,0,0,2,126,0,486,91,23,0,1,225,136,89,0,0,0,0,0,4,0,0,0,0,54
,Hurst,39299,2414,510,1370,534,463,56,363,44,2,2,0,0,0,0,0,7,38,23,0,0,15,0,0,0,0,76,40,140,0,0,187,74,54,0,0,0,59,0,789,0,0,390,11,0,132,62,194,124,14,0,5,469,295,174,0,0,0,0,0,6,1,0,1,0,53
,Hutchins,5641,490,95,360,35,84,22,44,18,0,0,0,0,0,0,0,3,8,6,0,0,2,0,0,0,0,20,0,56,0,0,25,9,14,0,0,0,2,0,155,17,1,5,15,1,50,17,49,94,4,6,1,21,20,1,0,0,0,0,0,2,0,0,0,0,11
,Hutto,41911,888,213,505,170,204,16,172,16,1,1,0,0,0,0,0,0,8,3,2,1,2,0,0,0,0,67,11,58,0,0,67,67,0,0,0,0,0,0,283,0,0,1,10,0,84,2,186,16,3,0,3,150,34,116,0,0,0,0,0,5,0,0,0,0,12
,Idalou,2099,20,7,9,4,7,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
,Ingleside,10360,488,167,249,72,147,38,77,32,1,1,0,0,0,0,0,4,15,12,0,0,3,0,0,0,0,41,7,51,0,0,41,13,23,0,0,0,5,0,89,22,0,4,6,0,20,2,35,19,1,0,1,53,53,0,0,0,0,0,0,2,1,0,1,0,15
,Iowa Colony,13236,243,112,116,15,109,6,99,4,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,13,2,17,0,0,32,1,10,13,0,0,8,0,45,0,0,1,4,0,10,2,28,5,2,0,0,12,2,10,0,0,0,0,0,0,0,0,0,0,3
,Iowa Park,6603,91,32,43,16,29,8,16,5,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,7,2,6,0,0,6,1,3,2,0,0,0,0,17,1,1,0,2,0,5,0,8,3,0,2,1,11,9,2,0,0,0,0,0,3,0,0,0,0,1
,Irving,255203,17130,3684,10106,3340,3364,447,2325,592,16,13,3,0,8,6,2,54,242,89,45,21,87,0,0,7,0,614,183,2563,11,1,852,104,228,166,0,14,323,17,4566,21,48,1112,148,23,1246,701,1267,1116,181,12,9,2860,1651,1209,0,0,0,0,0,51,33,11,3,19,387
,Italy,2086,34,8,24,2,8,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,1,0,1,0,4,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
,Itasca,1872,10,1,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0
,Jacinto City,9192,475,74,358,43,73,3,69,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,8,9,55,0,0,25,1,14,5,0,0,5,0,192,1,0,100,5,1,38,20,27,67,1,0,1,29,28,1,0,0,0,0,0,0,0,0,0,0,13
,Jacksboro,4421,99,47,32,20,42,7,27,8,1,0,1,0,0,0,0,0,4,3,0,0,1,0,0,1,0,3,1,9,0,1,4,3,0,0,0,0,1,0,11,0,0,0,0,0,3,0,8,1,1,0,1,18,12,6,0,0,0,0,0,0,0,0,0,0,1
,Jacksonville,14309,1058,261,502,295,243,52,191,0,3,2,1,0,0,0,0,7,8,4,0,0,4,0,0,0,0,58,22,94,0,0,61,33,13,8,0,3,4,0,228,1,0,86,12,0,10,0,119,34,4,1,0,265,166,99,0,0,0,0,0,2,0,0,0,0,28
